,constellation,iterations,seed_value,mu,sigma,number_of_satellites,total_area_earth_km_sq,coverage_area_per_sat_sqkm,altitude_km,dl_frequency_Hz,dl_bandwidth_Hz,speed_of_light,antenna_diameter_m,antenna_efficiency,power_dBw,receiver_gain_dB,earth_atmospheric_losses_dB,all_other_losses_dB,number_of_channels,polarization,monthly_traffic_GB,percent_of_traffic,fuel_mass_kg,fuel_mass_1_kg,fuel_mass_2_kg,fuel_mass_3_kg,satellite_launch_cost,ground_station_cost,spectrum_cost,regulation_fees,digital_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,research_development,maintenance,discount_rate,assessment_period_year
0,Starlink,100,42,2,10,4425,510000000,115254.2372881356,542.8675481578348,13500000000.016396,500000000.0,300000000.0,0.6105387742336464,0.6174631961843311,30,33.446389067906246,9.58236730306509,0.36664529135282775,8,2,33.09327602522235,15,488370,0,0,0,241546699.7055151,47969236.87083329,137398368.216053,-453100.21298632666,2687964.729212597,3065583.3587291744,48775994.45455162,192223.98564427998,59172634.33311921,13030749.82239522,5,5
1,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1195.5061614064907,13499999999.91305,250000000.0,300000000.0,0.4848607433603515,0.6533882538537876,30,30.91586198297056,14.756603149866045,0.4797045702304414,8,2,28.102599570744886,15,218150,7360,0,0,713757944.0852754,46170357.178554334,135474493.97664872,7146115.898029791,3203815.4022212997,3789771.173830604,59997387.30957425,1345914.5309949494,60073744.60043364,12466285.831741266,5,5
2,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,603.6222295159865,17700000000.036144,250000000.0,300000000.0,1.050038355272183,0.5805889620979601,30,31.947398412024143,17.867180881491564,0.6693681326263266,8,2,30.271670821229925,15,0,10000,480000,184900,180532167.65569273,34879656.928670324,123536880.23293093,7308995.701225274,1715188.6591288827,14227226.713137828,57392492.23809364,6033254.391512519,60686986.65168796,55030801.25651003,5,5
3,Starlink,100,42,2,10,4425,510000000,115254.2372881356,544.07257531284,13499999999.90095,500000000.0,300000000.0,0.7405472520414703,0.5365498749894854,30,25.318481375469027,12.35397835967726,0.6111694449350892,8,2,29.020144043958133,15,488370,0,0,0,251770636.21486175,45887048.74245657,125773949.5176128,-475125.33108132146,4059314.0494363587,4212722.090826727,42963356.489418805,6565502.411107473,60574359.31454918,12076216.739988877,5,5
4,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1190.6207417901412,13499999999.907013,250000000.0,300000000.0,0.5992436917660697,0.6983507435241724,30,27.944653137947448,16.205443515222697,0.36147195451420167,8,2,27.589695089309934,15,218150,7360,0,0,727962187.0479033,48381169.765033945,139150232.39772382,6384270.766074024,3930374.6713727745,3848693.8879389837,52852283.10758656,13369697.823597053,59885930.47834163,12019029.39533263,5,5
5,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,608.3578135672229,17699999999.991707,250000000.0,300000000.0,0.9388584958874527,0.6914035158423079,30,32.52096246013641,16.591179137578987,0.7130415932547213,8,2,34.362409969764556,15,0,10000,480000,184900,172800518.8826086,37380621.657670066,140475726.04226378,8141225.932616623,2917267.336132655,15971663.694177749,43819771.46881,5135889.930443847,60666421.72170254,55408462.4681306,5,5
6,Starlink,100,42,2,10,4425,510000000,115254.2372881356,541.3101689286318,13500000000.08643,500000000.0,300000000.0,0.787829672514492,0.5859014864594717,30,26.504461019046595,11.118225176374175,0.6241282509037236,8,2,33.99447612375529,15,488370,0,0,0,241738227.57727233,47617066.06767365,126584919.88744977,1351587.4050620073,3474469.363886018,2930973.0580875096,40363168.5066829,17230512.904137608,60272269.607591614,13622396.09076443,5,5
7,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1198.09964348991,13499999999.98992,250000000.0,300000000.0,0.8085647219706761,0.6516281431632203,30,31.234504108482177,14.31936351174258,0.5057605738759171,8,2,32.73540920941547,15,218150,7360,0,0,722641976.2588855,50944172.91980038,138056454.1884997,8938694.736143628,4111499.6354860244,3208523.69130388,49295533.36818099,7374023.637885161,59623936.25041552,12243236.934186937,5,5
8,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,603.713267712117,17700000000.02369,250000000.0,300000000.0,1.0976000278973341,0.6306253769061756,30,30.381350803376016,14.872549779899515,0.6179618411374423,8,2,28.717144000326513,15,0,10000,480000,184900,182696765.9929009,37151289.288582794,118058677.48526222,8302529.987989929,1764377.0073678605,15608544.453797506,52324690.321217656,14918733.230322078,59855712.983766966,54944030.15500551,5,5
9,Starlink,100,42,2,10,4425,510000000,115254.2372881356,540.8819509897434,13499999999.92186,500000000.0,300000000.0,0.5257630061910619,0.552211704548307,30,25.484721641360608,11.839564823336099,0.38548582773205736,8,2,25.105009120474932,15,488370,0,0,0,248235006.24080434,51372992.14058616,143962568.15324152,813264.5999072776,3623388.542209788,3513332.7901229504,41898518.82829222,3787461.0986546343,60285267.23430226,12609682.277079584,5,5
10,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1194.458007632712,13500000000.011225,250000000.0,300000000.0,0.6735903777835438,0.5288194827274252,30,31.94747939394351,14.720147742271344,0.35836189582334055,8,2,29.339563746516156,15,218150,7360,0,0,725347005.2351737,49264923.41140397,111956142.81202777,5225723.481897353,3451236.5578273395,2650138.875944265,55686949.823116675,12548459.479770372,59972132.53427564,13024247.468185568,5,5
11,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,604.236748853822,17699999999.97714,250000000.0,300000000.0,1.0840677652469783,0.5824549296496674,30,26.983930294466763,16.668692550743714,0.6766361824217648,8,2,26.718411019421143,15,0,10000,480000,184900,181174338.88157696,34212857.61790039,105591417.23024003,6709495.488565401,2240033.1000554888,15861739.084706744,57381939.64919615,7042921.205866339,60021118.29239456,54681344.485950015,5,5
12,Starlink,100,42,2,10,4425,510000000,115254.2372881356,542.5597070756371,13499999999.91486,500000000.0,300000000.0,0.4683855935211536,0.5707784527099736,30,31.899893378055896,10.086411218121974,0.3447631672485059,8,2,25.44233986616486,15,488370,0,0,0,256034256.0178133,51920305.868098676,143252528.06293693,1699617.9528318672,4390741.095534776,3745605.0169450245,41420408.47136595,11673220.655027619,60550181.0060088,12524248.40793347,5,5
13,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1197.4545642617632,13500000000.065062,250000000.0,300000000.0,0.6881872140264915,0.6615390891398732,30,30.100965113363216,16.18129953776648,0.45841030872914096,8,2,27.597942503790506,15,218150,7360,0,0,711517255.693047,51769590.61401669,129413833.24816489,6617715.127134437,3250532.4221045235,2680778.2710383153,49527740.64245901,9575446.792336926,60922002.785534136,13582227.638657527,5,5
14,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,608.6858419762797,17700000000.096233,250000000.0,300000000.0,0.9720198378154602,0.6032828188360987,30,31.26097590608314,12.60629126698044,0.3666207340091845,8,2,34.18774502793621,15,0,10000,480000,184900,181214553.58797002,30320637.402426623,140217458.61182946,8292855.753527041,1551464.5642440936,15608586.47176039,51125924.980865456,12546999.970226852,59572582.36655194,55026097.6485647,5,5
15,Starlink,100,42,2,10,4425,510000000,115254.2372881356,548.9348246284786,13500000000.029968,500000000.0,300000000.0,0.7255480667641183,0.5771420633320294,30,29.95682747487023,12.71584708019515,0.6596104662230604,8,2,34.21198809423569,15,488370,0,0,0,244973850.15905035,49705117.487515956,126976217.0392099,-454689.7450590854,3669630.8887526654,3828829.156017227,45472213.92766549,1689139.5850696745,60302264.58792045,13201566.748777926,5,5
16,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1197.825371174773,13500000000.06776,250000000.0,300000000.0,0.6204370457163416,0.657907468642233,30,26.131140607637086,13.596977557780804,0.4334444879215506,8,2,33.644056506664036,15,218150,7360,0,0,729261057.2698936,48020678.20914539,126733918.07112601,7260800.4968780335,2921648.119225828,3793591.300540802,41198102.800474055,17078664.52414918,59138975.12971991,12041681.03950849,5,5
17,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,608.7834935162853,17700000000.08643,250000000.0,300000000.0,0.8875117182939631,0.6612718495196395,30,26.601001416697713,16.49978530796895,0.4972696447035557,8,2,33.77748830332795,15,0,10000,480000,184900,174984268.72832137,32496002.514994454,143751371.01836973,8789169.911202284,2375666.830651115,14791990.838809732,45710809.80721693,6811642.1674386095,60997304.189094245,55428732.208069034,5,5
18,Starlink,100,42,2,10,4425,510000000,115254.2372881356,541.6578660957433,13500000000.076214,500000000.0,300000000.0,0.4380855368833516,0.5133138338584673,30,25.461092876216345,10.769213671026545,0.7005825881386322,8,2,32.51932656678993,15,488370,0,0,0,247013054.78910458,50393475.947842285,118562835.70136717,461810.56542909076,2689747.328900728,2912943.684904706,54284062.871992454,8166256.468070993,60955724.6433589,13317945.328523355,5,5
19,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1193.094049436861,13500000000.048243,250000000.0,300000000.0,0.6609645435997735,0.6413478745162072,30,34.077425323749516,16.705363716618784,0.5426672907672557,8,2,32.12015387646108,15,218150,7360,0,0,722987025.850139,46877576.888196416,120934818.89908011,5965611.458476433,3913602.901911853,3509242.694475272,59552935.730046846,17460875.117326584,60165289.50232075,13574214.04194932,5,5
20,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,602.998984234435,17700000000.042744,250000000.0,300000000.0,0.9395692079768937,0.5095042939804287,30,31.811375317099092,15.359610074256386,0.3320551275863849,8,2,27.874216798773624,15,0,10000,480000,184900,179005586.66276056,35301307.81694757,136492798.4654519,8025009.675063532,3098661.893113652,15780249.10628961,45873412.357563995,414295.1027997066,59225218.80843999,54921982.38623303,5,5
21,Starlink,100,42,2,10,4425,510000000,115254.2372881356,541.3391187034837,13500000000.003443,500000000.0,300000000.0,0.5087119881305302,0.6435100377114016,30,31.03837879633904,12.758221467810188,0.6652405388561293,8,2,33.523588550884135,15,488370,0,0,0,251616544.93287292,53389418.34386251,118518644.61877593,2450280.540465911,3566733.2060079994,3325771.5509803835,44268072.75579324,12729512.674040357,59200018.691534095,13016400.685855798,5,5
22,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1199.8989906314234,13500000000.098484,250000000.0,300000000.0,0.5001794934924748,0.5035228060520288,30,26.48168385988797,14.321111941349741,0.3572155275862097,8,2,33.302964320760715,15,218150,7360,0,0,712211103.7962149,44061345.925877266,107456658.38886982,8074845.184925914,3579336.8671195577,3803367.6469688704,55756171.755539596,9260150.835782625,60091086.54426193,12996934.671094313,5,5
23,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,604.9712982312063,17700000000.06839,250000000.0,300000000.0,0.8971573747198889,0.6820609155219243,30,35.99877899465679,14.801816045013949,0.38918881257551896,8,2,33.34809622554452,15,0,10000,480000,184900,189198856.22888178,37205058.722908214,118494832.55246894,8527706.832850263,2035763.2575809504,14167096.643878043,46247911.07212505,16386322.430585656,60195056.05864138,54010773.312902644,5,5
24,Starlink,100,42,2,10,4425,510000000,115254.2372881356,546.8803840884008,13499999999.945343,500000000.0,300000000.0,0.6033391766999594,0.5298702359946038,30,25.211015544349003,9.106551543730918,0.6894429713443648,8,2,27.614370689180895,15,488370,0,0,0,256877778.36322212,50732888.1081876,121887959.66840109,2667421.189311278,4500432.491918523,3925920.999081934,58557743.4091768,7771214.11441787,59806861.12325974,12095179.776336677,5,5
25,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1193.957195537922,13500000000.050993,250000000.0,300000000.0,0.7112534775207922,0.5314041503903616,30,26.771167809668324,14.182541665950307,0.683382385356252,8,2,33.04317213634242,15,218150,7360,0,0,719354654.1949013,49972933.85254629,106157576.76454295,6357586.451270694,4391622.133354194,3311263.975888998,57970924.9159701,4822767.481114088,59638897.299742386,13848132.871190606,5,5
26,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,606.5275861132419,17700000000.0754,250000000.0,300000000.0,1.0379455409253038,0.6881332213646751,30,31.821704815789197,15.927825432534771,0.44624333934440585,8,2,25.30272521000899,15,0,10000,480000,184900,172994541.9391481,30216186.29445151,135922565.8631877,9195731.06106897,2182030.54619597,15260260.209312001,49951360.21336789,7972207.737399168,60709258.06871367,54687524.565015845,5,5
27,Starlink,100,42,2,10,4425,510000000,115254.2372881356,547.8695812933539,13499999999.964836,500000000.0,300000000.0,0.5281468917175105,0.5040332413390388,30,27.141295944171922,10.610193414300115,0.38414059961271674,8,2,25.13438938436866,15,488370,0,0,0,241225925.61172837,51524782.44854921,123945062.62455738,-990447.8819166226,3469248.3576258,3772612.4277311126,53016624.239616945,3761225.864594768,59305586.40867715,13025153.20841157,5,5
28,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1193.4838439435189,13500000000.020542,250000000.0,300000000.0,0.5336167369758829,0.5880469286419414,30,28.5200590450142,13.064911365275066,0.7062642463496671,8,2,27.98939797450254,15,218150,7360,0,0,718547831.8031735,49671098.11929178,137602257.7718762,8479886.24729662,3584461.400727147,3616486.766217307,48007777.35853932,-1033058.9760117491,60579703.15028242,13032422.903140701,5,5
29,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,608.3021630030346,17699999999.900215,250000000.0,300000000.0,0.8646756205312809,0.5634448435991777,30,34.606341873682524,17.61683793601384,0.47868560011949757,8,2,33.52971946987989,15,0,10000,480000,184900,180477148.59274477,29910826.70324208,133213552.28110006,8639270.218215454,2481260.9271045816,14862075.11007272,41730284.623187,14910563.331376843,60811386.27378392,54086666.52312717,5,5
30,Starlink,100,42,2,10,4425,510000000,115254.2372881356,546.3945024308705,13500000000.078308,500000000.0,300000000.0,0.5002793667246347,0.6684160677966067,30,32.568490202872276,12.28135623679032,0.6561291350781429,8,2,34.55009012861767,15,488370,0,0,0,240863982.6665143,52884955.125490084,129871234.15969299,2559288.7185771596,4267914.329387562,2931191.1412478765,48022815.87732814,12787601.65809955,59856630.69919734,12872609.293177687,5,5
31,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1194.5404518032228,13499999999.908665,250000000.0,300000000.0,0.5426092434007327,0.5476571704001784,30,27.17248311485458,15.449077537189247,0.5403938233464054,8,2,32.84369778808056,15,218150,7360,0,0,711609370.994349,47334073.02995882,142864762.83152872,5718934.421412588,2866841.6313360026,3910687.9311987692,54268454.44468807,7480571.966006301,60548392.67369009,12814550.843061361,5,5
32,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,607.023985755772,17699999999.97464,250000000.0,300000000.0,1.0634771108097132,0.6334091064629783,30,31.83977017542476,17.429426052143377,0.42017809286894164,8,2,33.32282275403764,15,0,10000,480000,184900,189347866.7558631,34463244.12074822,132295590.95859906,7902227.165670102,2679009.151849282,14341561.875210049,54870510.29759507,357794.9564654557,60699840.12774859,55933154.1151756,5,5
