,constellation,losses,path_loss,antenna_gain,earth_atmospheric_losses,distance,satellite_coverage_area_km,eirp,noise,received_power,cnr,spectral_efficiency,channel_capacity,aggregate_capacity,sat_capacity
0,Starlink,3.0437823623258398,170.32320670255382,37.09998418464438,2.5137823623258395,572.5361290325869,101190.47619047618,67.09998418464437,-89.99782907027767,-75.6793496710403,14.318479399237376,3.841226,1920.613,30729.808,30729.807999999997
1,OneWeb,6.743110796540343,177.16520017187725,35.67724652034617,6.2131107965403425,1271.645915077516,708333.3333333334,65.67724652034617,-89.99782907027767,-73.31358600744196,16.68424306283572,4.735354,1183.8385,18941.416,18941.416
2,Kuiper,11.154766797361228,173.45941382596715,41.803837093110815,10.624766797361229,641.4451277013894,157407.40740740742,71.80383709311081,-89.99782907027767,-73.00151907499905,16.996309995278622,4.735354,1183.8385,18941.416,18941.416
3,Starlink,13.304773802806595,170.15864293130488,35.707181995667604,12.774773802806596,572.5361290325869,101190.47619047618,65.70718199566761,-89.99782907027767,-73.72845466265001,16.269374407627666,4.603122,2301.561,36824.976,36824.976
4,OneWeb,10.749867168689256,177.16870316725544,39.15275024876925,10.219867168689257,1271.645915077516,708333.3333333334,69.15275024876925,-89.99782907027767,-82.30319674501217,7.694632325265502,2.193247,548.31175,8772.988,8772.988
5,Kuiper,15.398977221777384,173.65536196700515,42.980141608408225,14.868977221777385,641.4451277013894,157407.40740740742,72.98014160840822,-89.99782907027767,-79.72735762453428,10.270471445743397,2.745734,686.4335,10982.936,10982.936
6,Starlink,16.736913189766227,170.18754473229166,38.77234561739265,16.206913189766226,572.5361290325869,101190.47619047618,68.77234561739266,-89.99782907027767,-74.494482507013,15.503346563264671,4.338659,2169.3295,34709.272,34709.272
7,OneWeb,17.407438302680674,177.13981494086482,37.27444539363961,16.877438302680673,1271.645915077516,708333.3333333334,67.27444539363961,-89.99782907027767,-78.67308860036192,11.324740469915753,2.856231,714.05775,11424.924,11424.924
8,Kuiper,14.079508526700467,173.50119325340444,45.39266795330403,13.549508526700468,641.4451277013894,157407.40740740742,75.39266795330403,-89.99782907027767,-75.29215764930278,14.705671420974895,3.841226,960.3065,15364.904,15364.903999999999
9,Starlink,14.745634360395806,170.26394087434699,37.26875232436419,14.215634360395807,572.5361290325869,101190.47619047618,67.26875232436419,-89.99782907027767,-71.060183173783,18.937645896494672,5.593162,2796.581,44745.296,44745.296
