,constellation,signal_path,satellite_coverage_area_km,path_loss,losses,antenna_gain,eirp_dB,noise,received_power_dB,cnr,spectral_efficiency,channel_capacity,agg_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm,total_cost_ownership,cost_per_capacity,aluminium_oxide_emissions_t,sulphur_oxide_emissions_t,carbon_oxide_emissions_t,cfc_gases_emissions_t,particulate_matter_emissions_t,photochemical_oxidation_emissions_t,total_emissions_t
0,Starlink,575.372560916251,115254.2372881356,170.25565830724577,7.645271242819554,40.47934920361782,70.47934920361783,-89.99782907027767,-81.93169214016496,8.06613693011272,2.370043,1185.0215,18960.344,18960.344,0.16450886705882353,982866109.5440493,229383102.6869775,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
1,OneWeb,1268.1147828193887,708333.3333333334,177.11984667576934,15.670079832557054,34.52671614892115,64.52671614892115,-89.99782907027767,-92.949010763246,-2.9511816929683192,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1525825420.5085034,166735515.78488162,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
2,Kuiper,643.5072483165169,157601.97775030902,173.58053418834726,18.053367100611503,41.204207211337796,71.2042072113378,-89.99782907027767,-92.26640596582666,-2.268576895548989,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1169434615.3114498,574348158.060481,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
3,Starlink,582.1296466263955,115254.2372881356,170.35706972073098,10.861540713149976,33.95962028282526,63.95962028282526,-89.99782907027767,-91.62347339071923,-1.6256443204415518,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1116824269.898655,375023858.07749796,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
4,OneWeb,1273.2232263264414,708333.3333333334,177.15476641975437,13.51758341746947,35.633013165734,65.633013165734,-89.99782907027767,-87.47020318792754,2.5276258823501365,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1577150499.381754,172344095.49761125,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
5,Kuiper,638.8619397329974,157601.97775030902,173.51760564259922,16.475804383474227,44.48970072416096,74.48970072416097,-89.99782907027767,-86.72890723690708,3.268921833370598,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1190644105.4751096,584764842.7125388,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
6,Starlink,570.9505287345946,115254.2372881356,170.18864495952008,10.331084120261474,35.83800192747673,65.83800192747674,-89.99782907027767,-80.64898763998768,9.348841430289994,2.635236,1317.618,21081.888,21081.888,0.18291638117647058,1215131997.528029,255051117.29374185,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
7,OneWeb,1263.7335852080703,708333.3333333334,177.08978592056366,19.975382424382985,36.233968255805706,66.2339682558057,-89.99782907027767,-104.96133284112224,-14.963503770844568,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1555213762.0719218,169946944.9711943,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
8,Kuiper,636.7972246691223,157601.97775030902,173.48948856662798,14.557358358439105,42.97760875841479,72.97760875841479,-89.99782907027767,-83.29456194906595,6.703267121211724,1.972253,493.06325,7889.012,7889.012,0.05005655457254902,1214313151.4919803,498100060.97443485,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
9,Starlink,573.0723547006846,115254.2372881356,170.2208645374864,9.010361991182624,36.4793127421336,66.4793127421336,-89.99782907027767,-83.80232267381172,6.195506396465959,1.972253,986.1265,15778.024,15778.024,0.1368975611764706,998024722.1191951,279899396.4882699,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
